"name","url","description"
"Books and Beans","http://www.booksandbeans.co.uk","Aberdeen "
"The Pocket","https://www.thepocket.coffee","Belfast"
"Yorks","https://www.yorkscafe.co.uk","Birmingham"
"Small Street","https://www.smallstreetespresso.co.uk","Bristol"
"Full Court Press","https://www.fcp.coffee/","Bristol"
"Baristas","https://www.tripadvisor.co.uk/Restaurant_Review-g186220-d4405183-Reviews-Baristas_Coffee_Collective-Bristol_England.html","Bristol"
"Playground","http://www.playgroundcoffee.co.uk/","Bristol"
"Harts Bakery","http://www.hartsbakery.co.uk/","Bristol Temple Meads"
"Mok","https://mokcoffee.be/","Brussels"
"Hard Lines","https://hard-lines.co.uk/","Cardiff"
"Little Man ","http://www.littlemancoffee.co.uk/","Cardiff"
"The Scandinavian Coffee Pod","https://www.thescandinaviancoffeepod.com","Cheltenham "
"Bear","https://www.bemorebear.co/derby","Derby"
"Cairngorm Coffee","https://www.cairngormcoffee.com","Edinburgh "
"Mr Eion","https://www.mreion.com","Edinburgh "
"Exploding Bakery","https://explodingbakery.com/","Exeter"
"March Coffee","https://www.marchcoffee.co.uk/","Exeter"
"McCune Smith","http://www.mccunesmith.co.uk/","Glasgow"
"200 degrees","https://200degs.com/leeds-bond-street","Leeds"
"Laynes Espresso","http://www.laynesespresso.co.uk/","Leeds"
"North Star Coffee Shop ","https://www.northstarroast.com/","Leeds"
"IF",,"Leeds"
"Fika","http://www.fikanorth.com/","Leeds"
"Dolcezza","https://dolcezzagelato.com/coffee/","London"
"Treves & Hyde","https://trevesandhyde.com/","London Aldgate East"
"Kioskafe","http://kioskafe.com","London Paddington"
"Ready!?","http://readycoffeeshop.lu/wordpress/","Luxembourg "
"Idle Hands","http://www.idlehandscoffee.com/","Manchester"
"North Tea Power","https://northteapower.co.uk/","Manchester"
"Siop Shop","https://twitter.com/siopshop","Manchester"
"Takk","http://takkmcr.com","Manchester"
"Quay Ingredient","http://quayingredient.co.uk/","Newcastle"
"Quarters Coffee","http://quarterscoffee.com/","Newport"
"The Missing Bean","https://www.themissingbean.co.uk/","Oxford"
"Colombia Coffee Roasters","https://www.colombiacoffeeroasters.co.uk/","Oxford"
"Truck Store","https://truckmusicstore.co.uk/","Oxford"
"Workhouse Coffee","http://workhousecoffee.co.uk/","Reading"
"Ambrulo ","http://weareambulo.com/","Sheffield"
"Upshot Espresso","https://upshotsheffield.co.uk/","Sheffield"
"Foundry","https://m.facebook.com/foundrycoffeeroasterscoffeeshop/","Sheffield "
"Temper","https://tampercoffee.co.uk/","Sheffield "
"Bear","https://www.bemorebear.co/stone","Stone"
"Square Peg","https://www.squarepeg.org.uk/","Swansea"
"BaseKamp","https://twitter.com/BasekampSwansea","Swansea"
"Bear","https://www.bemorebear.co/uttoxeter","Uttoxeter"
"Create Cafe","https://www.createcafewakefield.co.uk/","Wakefield"
"Ue Coffee Roasters","https://uecoffeeroasters.com/","Witney"
